Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
88,Venezuela,"3,591",,30,,835,"2,726",7,126,1,"1,115,041","39,210","28,438,020",South America,,,,,
89,Bosnia and Herzegovina,"3,273",,169,,"2,241",863,4,997,52,"81,030","24,694","3,281,312",Europe,,,,,
90,Greece,"3,237",,189,,"1,374","1,674",10,311,18,"274,711","26,353","10,424,317",Europe,,,,,
91,Thailand,"3,147",+1,58,,"3,018",71,1,45,0.8,"468,175","6,708","69,794,989",Asia,,,,,
92,Kyrgyzstan,"2,981",+192,35,+3,"1,981",965,30,457,5,"171,161","26,250","6,520,349",Asia,,,,,
93,Somalia,"2,719",,88,,724,"1,907",2,171,6,,,"15,874,637",Africa,,,,,
94,Mauritania,"2,621",,102,,653,"1,866",8,564,22,"13,842","2,980","4,644,645",Africa,,,,,
95,CAR,"2,605",,19,,417,"2,169",2,540,4,"18,921","3,920","4,826,727",Africa,,,,,
96,Mayotte,"2,394",,29,,"2,066",299,10,"8,784",106,"8,800","32,287","272,553",Africa,,,,,
97,Cuba,"2,305",,85,,"2,037",183,1,203,8,"146,276","12,914","11,326,802",North America,,,,,
98,Croatia,"2,280",,107,,"2,142",31,,555,26,"71,814","17,491","4,105,879",Europe,,,,,
99,Maldives,"2,150",,8,,"1,769",373,9,"3,980",15,"35,533","65,778","540,198",Asia,,,,,
100,Costa Rica,"2,058",,12,,982,"1,064",5,404,2,"34,477","6,770","5,092,635",North America,,,,,
101,Estonia,"1,981",+2,69,,"1,758",154,1,"1,493",52,"102,486","77,260","1,326,510",Europe,,,,,
102,French Guiana,"1,969",,5,,840,"1,124",13,"6,599",17,277,928,"298,366",South America,,,,,
103,Sri Lanka,"1,950",,11,,"1,446",493,1,91,0.5,"94,260","4,402","21,410,615",Asia,,,,,
104,Mali,"1,923",,108,,"1,217",598,,95,5,"10,532",521,"20,226,093",Africa,,,,,
105,Albania,"1,891",+53,42,,"1,126",723,7,657,15,"20,196","7,018","2,877,881",Europe,,,,,
106,South Sudan,"1,864",,34,,122,"1,708",2,167,3,"9,829",878,"11,189,366",Africa,,,,,
107,Nicaragua,"1,823",,64,,"1,238",521,,275,10,,,"6,621,929",North America,,,,,
108,Iceland,"1,819",,10,,"1,801",8,,"5,332",29,"65,101","190,814","341,175",Europe,,,,,
109,Lithuania,"1,795",+3,76,,"1,470",249,16,659,28,"390,457","143,389","2,723,065",Europe,,,,,
110,Equatorial Guinea,"1,664",,32,,515,"1,117",,"1,188",23,"16,000","11,421","1,400,925",Africa,,,,,
111,Slovakia,"1,586",+10,28,,"1,447",111,,290,5,"201,651","36,935","5,459,569",Europe,,,,,
112,Guinea-Bissau,"1,541",,17,,153,"1,371",5,784,9,"1,500",763,"1,966,161",Africa,,,,,
113,Slovenia,"1,519",+6,109,,"1,359",51,1,731,52,"93,520","44,985","2,078,930",Europe,,,,,
114,Lebanon,"1,510",,32,,960,518,9,221,5,"112,811","16,526","6,826,209",Asia,,,,,
115,New Zealand,"1,509",+2,22,,"1,482",5,,302,4,"335,167","67,005","5,002,100",Australia/Oceania,,,,,
116,Madagascar,"1,443",,13,,498,932,6,52,0.5,"17,905",647,"27,662,042",Africa,,,,,
117,Zambia,"1,430",,11,,"1,194",225,1,78,0.6,"47,968","2,612","18,362,345",Africa,,,,,
118,Paraguay,"1,336",,13,,741,582,1,187,2,"54,278","7,613","7,129,602",South America,,,,,
119,Sierra Leone,"1,298",,53,,732,513,,163,7,,,"7,970,854",Africa,,,,,
120,Tunisia,"1,156",+10,50,,"1,017",89,,98,4,"65,515","5,545","11,814,592",Africa,,,,,
121,Hong Kong,"1,128",,4,,"1,074",50,3,150,0.5,"301,108","40,174","7,495,075",Asia,,,,,
122,Latvia,"1,111",+1,30,,903,178,1,589,16,"136,567","72,386","1,886,653",Europe,,,,,
123,Niger,"1,020",,67,,901,52,,42,3,"6,379",264,"24,165,814",Africa,,,,,
124,Jordan,"1,008",,9,,708,291,3,99,0.9,"318,410","31,217","10,199,864",Asia,,,,,
125,Cyprus,985,,19,,818,148,4,816,16,"145,169","120,264","1,207,087",Asia,,,,,
126,Yemen,919,,251,,288,380,,31,8,120,4,"29,800,547",Asia,,,,,
127,Burkina Faso,900,,53,,810,37,,43,3,,,"20,879,401",Africa,,,,,
128,Georgia,898,+2,14,,752,132,5,225,4,"83,734","20,989","3,989,368",Asia,,,,,
129,Congo,883,,27,,391,465,,160,5,,,"5,512,640",Africa,,,,,
130,Chad,858,,74,,742,42,,52,5,,,"16,405,900",Africa,,,,,
131,Andorra,855,,52,,792,11,8,"11,066",673,"3,750","48,536","77,262",Europe,,,,,
132,Uruguay,853,,24,,814,15,4,246,7,"56,234","16,190","3,473,381",South America,,,,,
133,Cabo Verde,848,,8,,377,463,,"1,526",14,"1,307","2,352","555,789",Africa,,,,,
134,Uganda,763,+8,,,492,271,,17,,"155,882","3,413","45,677,488",Africa,,,,,
,,721,,15,,651,55,4,,,,,,,,,,,
135,Diamond Princess,712,,13,,651,48,4,,,,,,,,,,,
136,Palestine,708,+33,3,,437,268,,139,0.6,"44,876","8,805","5,096,747",Asia,,,,,
137,San Marino,696,,42,,610,44,,"20,513","1,238","5,501","162,133","33,929",Europe,,,,,
138,Sao Tome and Principe,693,,12,,199,482,,"3,164",55,"1,630","7,443","219,009",Africa,,,,,
139,Mozambique,668,,4,,177,487,,21,0.1,"22,263",713,"31,218,676",Africa,,,,,
140,Malta,663,,9,,613,41,1,"1,502",20,"86,676","196,318","441,509",Europe,,,,,
